Time   inert-X inert-Y inert-Z   optic-rX optic-rY optic-rZ   optic-X optic-Y optic-Z
23-57-18-846   0.609 3.017 -0.770  0.075 2.832 -0.050  -0.043 2.486 0.108  -0.313 -0.254 1.731
23-57-18-867   0.597 3.004 -0.770  0.063 2.819 -0.049  -0.050 2.477 0.107  -0.314 -0.265 1.731
23-57-18-889   0.586 2.992 -0.769  0.052 2.806 -0.049  -0.056 2.467 0.106  -0.315 -0.277 1.730
23-57-18-909   0.580 2.985 -0.769  0.052 2.806 -0.049  -0.063 2.457 0.106  -0.316 -0.289 1.730
23-57-18-910   0.574 2.979 -0.768  0.040 2.793 -0.047  -0.070 2.447 0.105  -0.316 -0.301 1.728
23-57-18-930   0.561 2.966 -0.766  0.027 2.780 -0.046  -0.076 2.438 0.104  -0.318 -0.313 1.728
23-57-18-951   0.549 2.953 -0.764  0.015 2.768 -0.044  -0.083 2.427 0.103  -0.318 -0.325 1.726
23-57-18-972   0.537 2.941 -0.762  0.003 2.756 -0.041  -0.090 2.418 0.102  -0.319 -0.337 1.726
23-57-18-972   0.537 2.941 -0.762  0.003 2.756 -0.041  -0.096 2.408 0.101  -0.320 -0.348 1.725
23-57-18-993   0.524 2.930 -0.759  -0.010 2.744 -0.039  -0.103 2.398 0.100  -0.321 -0.360 1.724
23-57-19-14   0.512 2.918 -0.757  -0.022 2.732 -0.036  -0.110 2.389 0.099  -0.323 -0.372 1.723
23-57-19-35   0.500 2.906 -0.754  -0.034 2.720 -0.034  -0.116 2.379 0.098  -0.324 -0.384 1.722
23-57-19-56   0.490 2.894 -0.752  -0.044 2.709 -0.031  -0.123 2.369 0.097  -0.325 -0.396 1.721
23-57-19-56   0.490 2.894 -0.752  -0.044 2.709 -0.031  -0.130 2.359 0.096  -0.326 -0.408 1.720
23-57-19-77   0.479 2.883 -0.750  -0.055 2.697 -0.029  -0.137 2.349 0.095  -0.327 -0.419 1.718
23-57-19-98   0.469 2.871 -0.747  -0.065 2.685 -0.026  -0.144 2.340 0.093  -0.328 -0.431 1.717
23-57-19-120   0.459 2.859 -0.744  -0.075 2.674 -0.024  -0.151 2.329 0.093  -0.329 -0.444 1.716
23-57-19-141   0.448 2.847 -0.741  -0.086 2.662 -0.020  -0.157 2.319 0.092  -0.330 -0.456 1.716
23-57-19-141   0.448 2.847 -0.741  -0.086 2.662 -0.020  -0.163 2.309 0.093  -0.330 -0.468 1.716
23-57-19-162   0.438 2.834 -0.738  -0.096 2.648 -0.018  -0.169 2.298 0.093  -0.330 -0.480 1.717
23-57-19-183   0.431 2.824 -0.738  -0.103 2.638 -0.018  -0.174 2.288 0.094  -0.330 -0.491 1.717
23-57-19-208   0.422 2.814 -0.733  -0.112 2.628 -0.012  -0.179 2.279 0.094  -0.330 -0.502 1.718
23-57-19-226   0.418 2.809 -0.733  -0.116 2.623 -0.013  -0.184 2.268 0.095  -0.329 -0.513 1.719
23-57-19-228   0.412 2.802 -0.734  -0.122 2.617 -0.014  -0.189 2.259 0.096  -0.328 -0.524 1.719
23-57-19-249   0.402 2.789 -0.737  -0.132 2.604 -0.016  -0.193 2.250 0.096  -0.327 -0.534 1.720
23-57-19-270   0.394 2.776 -0.739  -0.140 2.591 -0.019  -0.196 2.240 0.097  -0.325 -0.544 1.721
23-57-19-292   0.387 2.764 -0.742  -0.147 2.578 -0.021  -0.199 2.231 0.098  -0.323 -0.554 1.722
23-57-19-310   0.384 2.757 -0.743  -0.147 2.578 -0.021  -0.201 2.221 0.098  -0.320 -0.563 1.722
23-57-19-312   0.381 2.751 -0.744  -0.153 2.565 -0.023  -0.203 2.212 0.099  -0.317 -0.572 1.723
23-57-19-333   0.375 2.739 -0.746  -0.159 2.553 -0.025  -0.204 2.203 0.099  -0.313 -0.580 1.723
23-57-19-354   0.370 2.727 -0.748  -0.164 2.541 -0.028  -0.204 2.194 0.099  -0.309 -0.588 1.723
23-57-19-375   0.366 2.715 -0.750  -0.168 2.529 -0.030  -0.203 2.185 0.099  -0.304 -0.595 1.723
23-57-19-375   0.366 2.715 -0.750  -0.168 2.529 -0.030  -0.202 2.176 0.099  -0.298 -0.602 1.723
23-57-19-396   0.364 2.703 -0.752  -0.170 2.517 -0.031  -0.200 2.167 0.099  -0.293 -0.609 1.723
23-57-19-416   0.362 2.691 -0.753  -0.172 2.505 -0.032  -0.198 2.159 0.099  -0.286 -0.615 1.723
23-57-19-437   0.360 2.679 -0.754  -0.174 2.494 -0.033  -0.195 2.151 0.099  -0.280 -0.621 1.722
23-57-19-458   0.360 2.669 -0.754  -0.174 2.483 -0.033  -0.191 2.143 0.098  -0.273 -0.626 1.722
23-57-19-458   0.360 2.669 -0.754  -0.174 2.483 -0.033  -0.188 2.135 0.098  -0.266 -0.631 1.722
23-57-19-480   0.360 2.659 -0.755  -0.174 2.473 -0.034  -0.184 2.128 0.098  -0.260 -0.635 1.721
23-57-19-501   0.360 2.649 -0.755  -0.174 2.463 -0.034  -0.179 2.122 0.097  -0.252 -0.638 1.721
23-57-19-521   0.361 2.639 -0.756  -0.173 2.453 -0.035  -0.174 2.115 0.097  -0.245 -0.642 1.721
23-57-19-543   0.363 2.629 -0.756  -0.172 2.448 -0.035  -0.169 2.109 0.097  -0.237 -0.645 1.720
23-57-19-543   0.363 2.629 -0.756  -0.171 2.443 -0.035  -0.164 2.103 0.096  -0.230 -0.648 1.720
23-57-19-563   0.365 2.619 -0.756  -0.169 2.433 -0.036  -0.159 2.097 0.095  -0.223 -0.650 1.719
23-57-19-584   0.367 2.608 -0.756  -0.167 2.423 -0.036  -0.153 2.092 0.094  -0.215 -0.652 1.718
23-57-19-605   0.370 2.598 -0.756  -0.164 2.412 -0.035  -0.148 2.087 0.094  -0.208 -0.653 1.717
23-57-19-626   0.374 2.588 -0.755  -0.160 2.403 -0.034  -0.142 2.083 0.093  -0.201 -0.654 1.717
23-57-19-626   0.374 2.588 -0.755  -0.160 2.403 -0.034  -0.136 2.078 0.093  -0.193 -0.655 1.717
23-57-19-647   0.377 2.580 -0.753  -0.157 2.395 -0.033  -0.130 2.075 0.093  -0.186 -0.655 1.717
23-57-19-668   0.381 2.573 -0.753  -0.153 2.387 -0.032  -0.123 2.071 0.094  -0.179 -0.655 1.718
23-57-19-689   0.388 2.567 -0.757  -0.146 2.382 -0.036  -0.116 2.068 0.095  -0.171 -0.655 1.718
23-57-19-710   0.394 2.562 -0.758  -0.143 2.380 -0.035  -0.109 2.064 0.095  -0.163 -0.654 1.719
23-57-19-710   0.394 2.562 -0.758  -0.140 2.377 -0.037  -0.102 2.061 0.096  -0.156 -0.653 1.720
23-57-19-731   0.401 2.557 -0.758  -0.133 2.372 -0.037  -0.095 2.059 0.096  -0.148 -0.652 1.720
23-57-19-752   0.407 2.553 -0.756  -0.127 2.367 -0.035  -0.088 2.056 0.096  -0.140 -0.651 1.720
23-57-19-773   0.413 2.550 -0.752  -0.121 2.365 -0.031  -0.081 2.054 0.096  -0.133 -0.649 1.720
23-57-19-792   0.416 2.547 -0.753  -0.118 2.362 -0.032  -0.074 2.051 0.096  -0.126 -0.648 1.719
23-57-19-794   0.419 2.545 -0.753  -0.115 2.359 -0.033  -0.066 2.048 0.095  -0.118 -0.647 1.719
23-57-19-815   0.426 2.538 -0.755  -0.108 2.353 -0.034  -0.059 2.045 0.095  -0.110 -0.646 1.718
23-57-19-836   0.433 2.532 -0.755  -0.101 2.346 -0.035  -0.052 2.042 0.094  -0.103 -0.646 1.718
23-57-19-857   0.440 2.525 -0.756  -0.094 2.339 -0.035  -0.045 2.039 0.093  -0.095 -0.645 1.717
23-57-19-857   0.440 2.525 -0.756  -0.094 2.339 -0.035  -0.038 2.035 0.093  -0.087 -0.645 1.717
23-57-19-879   0.447 2.518 -0.756  -0.087 2.332 -0.035  -0.031 2.031 0.093  -0.079 -0.645 1.717
23-57-19-900   0.455 2.509 -0.756  -0.079 2.324 -0.035  -0.024 2.027 0.093  -0.071 -0.645 1.716
23-57-19-921   0.462 2.501 -0.755  -0.072 2.315 -0.035  -0.018 2.022 0.093  -0.063 -0.646 1.716
23-57-19-941   0.469 2.492 -0.755  -0.065 2.307 -0.035  -0.011 2.017 0.093  -0.054 -0.647 1.716
23-57-19-960   0.473 2.488 -0.755  -0.065 2.307 -0.035  -0.005 2.012 0.092  -0.046 -0.648 1.716
23-57-19-962   0.476 2.484 -0.755  -0.058 2.299 -0.035  0.002 2.007 0.092  -0.039 -0.650 1.716
23-57-19-983   0.482 2.477 -0.756  -0.052 2.292 -0.035  0.007 2.002 0.092  -0.031 -0.651 1.716
23-57-20-04   0.490 2.470 -0.756  -0.044 2.285 -0.036  0.013 1.997 0.092  -0.024 -0.653 1.716
23-57-20-25   0.497 2.464 -0.757  -0.037 2.278 -0.036  0.019 1.992 0.092  -0.016 -0.654 1.716
23-57-20-44   0.501 2.460 -0.757  -0.037 2.278 -0.036  0.024 1.987 0.091  -0.009 -0.656 1.715
23-57-20-46   0.505 2.456 -0.757  -0.029 2.271 -0.037  0.030 1.981 0.091  -0.001 -0.658 1.715
23-57-20-67   0.512 2.449 -0.757  -0.022 2.263 -0.037  0.036 1.975 0.090  0.007 -0.661 1.714
23-57-20-88   0.520 2.440 -0.757  -0.014 2.255 -0.036  0.042 1.969 0.090  0.015 -0.663 1.713
23-57-20-108   0.528 2.431 -0.757  -0.006 2.246 -0.036  0.048 1.963 0.089  0.024 -0.666 1.713
23-57-20-108   0.528 2.431 -0.757  -0.006 2.246 -0.036  0.054 1.956 0.088  0.032 -0.668 1.712
23-57-20-130   0.536 2.422 -0.756  0.002 2.236 -0.035  0.061 1.950 0.087  0.041 -0.671 1.711
23-57-20-151   0.543 2.412 -0.755  0.009 2.226 -0.034  0.067 1.943 0.086  0.050 -0.673 1.710
23-57-20-172   0.550 2.402 -0.753  0.016 2.217 -0.033  0.074 1.936 0.086  0.059 -0.676 1.709
23-57-20-192   0.557 2.393 -0.752  0.023 2.207 -0.031  0.081 1.928 0.085  0.069 -0.679 1.708
23-57-20-192   0.557 2.393 -0.752  0.023 2.207 -0.031  0.087 1.921 0.083  0.078 -0.683 1.707
23-57-20-213   0.564 2.383 -0.751  0.030 2.197 -0.030  0.093 1.913 0.082  0.088 -0.687 1.706
23-57-20-234   0.570 2.373 -0.749  0.036 2.188 -0.028  0.099 1.904 0.081  0.097 -0.691 1.705
23-57-20-255   0.577 2.363 -0.747  0.043 2.177 -0.027  0.105 1.896 0.080  0.106 -0.696 1.703
23-57-20-277   0.583 2.352 -0.745  0.046 2.172 -0.026  0.111 1.887 0.078  0.116 -0.700 1.702
23-57-20-277   0.583 2.352 -0.745  0.049 2.167 -0.025  0.117 1.878 0.077  0.125 -0.705 1.701
23-57-20-297   0.589 2.341 -0.743  0.055 2.155 -0.022  0.122 1.869 0.076  0.134 -0.710 1.700
23-57-20-318   0.594 2.329 -0.741  0.060 2.144 -0.020  0.128 1.860 0.074  0.144 -0.715 1.698
23-57-20-339   0.599 2.317 -0.738  0.065 2.132 -0.017  0.134 1.851 0.073  0.153 -0.721 1.697
23-57-20-361   0.605 2.304 -0.735  0.068 2.125 -0.016  0.139 1.842 0.073  0.163 -0.726 1.697
23-57-20-361   0.605 2.304 -0.735  0.071 2.119 -0.015  0.146 1.832 0.074  0.173 -0.731 1.698
23-57-20-381   0.611 2.291 -0.732  0.077 2.105 -0.012  0.153 1.823 0.076  0.184 -0.736 1.699
23-57-20-402   0.617 2.278 -0.731  0.083 2.092 -0.010  0.160 1.812 0.077  0.195 -0.742 1.700
23-57-20-424   0.624 2.264 -0.736  0.090 2.079 -0.015  0.166 1.802 0.078  0.206 -0.747 1.702
